university,type_1,type_2,region,Latitude,Longitude,"publishing_program (1=yes, 0=no)","press (1=yes, 0=no)",student_pop_size_2022_average,demogs_1_2022,demogs_2_2022,demogs_3_2022,student_pop_size_2012_average,demogs_1_2012,demogs_2_2012,demogs_3_2012,2012_revenue,2013_revenue,2014_revenue,2015_revenue,2016_revenue,2017_revenue,2018_revenue,2019_revenue,2020_revenue,2021_revenue,2022_revenue
University of Louisville,R1,,South,38.2152,-85.7606,1,0,169336,White,Black or African American,Hispanic/Latino,170410,White,Black or African American,Hispanic/Latino,743714000,807496000,900694000,883490000,824274000,822970000,931016000,976650000,1248028000,1353392000,689579000
Columbia University in the City of New York,R1,Private,Northeast,40.8075,-73.9626,1,1,193852,Nonresident Alien,White,Asian,149848,White,Nonresident Alien,Asian,18111042000,20418552000,21068094000,19859788000,22089299000,24843320000,25458208000,27040298000,33846440000,30998084000,16097012000
Bard College,Liberal Arts,,Northeast,42.0184,-73.9102,1,0,23220,White,Nonresident Alien,Hispanic/Latino,20176,White,Race/Ethnicity Unknown,Nonresident Alien,333831222,325655370,326178288,273084938,297554378,296233746,272629658,267839886,395780068,339912918,178043416
Simmons University,Women's College,,Northeast,42.339,-71.1003,1,0,32770,White,Race/Ethnicity Unknown,Hispanic/Latino,29194,White,Race/Ethnicity Unknown,Black or African American,338593104,382351050,381334142,348225254,378909298,390905524,393488724,383390532,491433308,428157198,225924696
University of Kentucky,R1,,South,38.0376,-84.5037,1,1,247996,White,Black or African American,Hispanic/Latino,226240,White,Black or African American,Nonresident Alien,1859504702,1964712876,2599888092,2756853504,2823083976,2887905264,2762250932,3790531230,4266968536,4853611924,3329028790
"California State University, Northridge",R2,HSI,West,34.2381,-118.5287,1,0,333146,Hispanic/Latino,White,Asian,324190,Hispanic/Latino,White,Asian,721013670,773967658,886322136,823214276,812151444,892486388,885487926,952643384,1090040110,1106330248,570523923
DePauw University,Liberal Arts,,Midwest,39.64,-86.8622,1,0,16370,White,Nonresident Alien,Hispanic/Latino,22056,White,Nonresident Alien,Black or African American,1051196258,1193845870,1240159134,1140606118,1244066708,1340951664,1342695254,1277118686,1520590096,1410634520,740660751
Sweet Briar College,Women's College,,South,37.5654,-79.0794,1,0,4250,White,Nonresident Alien,Black or African American,6314,White,Black or African American,Hispanic/Latino,191694446,192036256,129724078,152921436,156050640,151416404,140412974,124621296,154451696,131295222,66994473
Illinois State University,R2,,Midwest,40.5095,-88.9946,1,0,182952,White,Hispanic/Latino,Black or African American,185878,White,Hispanic/Latino,Black or African American,619932280,598682290,654108764,694709588,711927470,684781114,729671134,858806260,1052436940,988210060,526692665
Ohio State University,R1,,Midwest,40.0017,-83.0197,1,1,258878,White,Hispanic/Latino,Nonresident Alien,263598,White,Nonresident Alien,Hispanic/Latino,1227476346,1015411152,1224877662,1205511534,1354894252,1537359866,1500991620,1502840508,1303831356,1265103648,610040146
