college_name,UNITID,INSTNM,CONTROL,SECTOR,CITY,STABBR,match_type
"University of California, Santa Barbara",110705.0,University of California-Santa Barbara,1.0,1.0,Santa Barbara,CA,fuzzy
University of Tampa,137847.0,The University of Tampa,2.0,2.0,Tampa,FL,fuzzy
University of Texas at El Paso,228796.0,The University of Texas at El Paso,1.0,1.0,El Paso,TX,fuzzy
University of Massachusetts Amherst,166629.0,University of Massachusetts-Amherst,1.0,1.0,Amherst,MA,fuzzy
University of West Florida,138354.0,The University of West Florida,1.0,1.0,Pensacola,FL,fuzzy
"University of California, Riverside",110671.0,University of California-Riverside,1.0,1.0,Riverside,CA,fuzzy
University of Massachusetts Lowell,166513.0,University of Massachusetts-Lowell,1.0,1.0,Lowell,MA,fuzzy
University of North Carolina Asheville,199111.0,University of North Carolina at Asheville,1.0,1.0,Asheville,NC,fuzzy
University of Texas Health Science Center at Houston,229300.0,The University of Texas Health Science Center at Houston,1.0,1.0,Houston,TX,fuzzy
University of Texas Medical Branch at Galveston,228653.0,The University of Texas Medical Branch at Galveston,1.0,1.0,Galveston,TX,fuzzy
University of Texas MD Anderson Cancer Center,416801.0,The University of Texas MD Anderson Cancer Center,1.0,1.0,Houston,TX,fuzzy
"California State University, Chico",110538.0,California State University-Chico,1.0,1.0,Chico,CA,fuzzy
University of Massachusetts Dartmouth,167987.0,University of Massachusetts-Dartmouth,1.0,1.0,North Dartmouth,MA,fuzzy
"California State University, San Marcos",366711.0,California State University-San Marcos,1.0,1.0,San Marcos,CA,fuzzy
Texas Woman’s University,229179.0,Texas Woman's University,1.0,1.0,Denton,TX,fuzzy
"California State Polytechnic University, Pomona",110529.0,California State Polytechnic University-Pomona,1.0,1.0,Pomona,CA,fuzzy
University of Texas Permian Basin,229018.0,The University of Texas Permian Basin,1.0,1.0,Odessa,TX,fuzzy
"Minnesota State University, Mankato",173920.0,Minnesota State University-Mankato,1.0,1.0,Mankato,MN,fuzzy
North Dakota State University,219356.0,South Dakota State University,1.0,1.0,Brookings,SD,fuzzy
